index,labels,comment_sentence,comment_clean,combo,combo_clean
131,"[1, 0, 0, 0, 0, 0, 0]",shared functionality for hadoopstreaming formats.,shared functionality hadoopstreaming format,shared functionality for hadoopstreaming formats. | StreamBaseRecordReader.java,shared functionality hadoopstreaming format | streambaserecordreader java
132,"[0, 0, 0, 1, 0, 0, 0]",a custom reader can be,custom reader,a custom reader can be | StreamBaseRecordReader.java,custom reader | streambaserecordreader java
133,"[0, 0, 0, 1, 0, 0, 0]",defined to be a recordreader with the constructor below and is selected with,defined recordreader constructor selected,defined to be a recordreader with the constructor below and is selected with | StreamBaseRecordReader.java,defined recordreader constructor selected | streambaserecordreader java
134,"[0, 0, 0, 1, 0, 0, 0]",the option bin hadoopstreaming inputreader .,option bin hadoopstreaming inputreader,the option bin hadoopstreaming inputreader . | StreamBaseRecordReader.java,option bin hadoopstreaming inputreader | streambaserecordreader java
135,"[1, 0, 1, 0, 0, 0, 0]",this program generates a random namespace structure with the following,program generates random namespace structure following,this program generates a random namespace structure with the following | StructureGenerator.java,program generates random namespace structure following | structuregenerator java
136,"[0, 0, 1, 0, 0, 0, 0]",files are randomly placed in the empty directories.,file randomly placed empty directory,files are randomly placed in the empty directories. | StructureGenerator.java,file randomly placed empty directory | structuregenerator java
137,"[0, 0, 1, 0, 0, 0, 0]",file follows gaussian distribution.,file follows gaussian distribution,file follows gaussian distribution. | StructureGenerator.java,file follows gaussian distribution | structuregenerator java
138,"[0, 0, 1, 0, 0, 0, 0]",the generated namespace structure is described by two files in the output,generated namespace structure described two file output,the generated namespace structure is described by two files in the output | StructureGenerator.java,generated namespace structure described two file output | structuregenerator java
139,"[0, 0, 0, 1, 0, 0, 0]",the synopsis of the command is,synopsis command,the synopsis of the command is | StructureGenerator.java,synopsis command | structuregenerator java
140,"[0, 0, 0, 1, 0, 0, 0]",maxwidth maxwidth maximum number of subdirectories per directories default is 5,maxwidth maxwidth maximum number subdirectory per directory default,maxwidth maxwidth maximum number of subdirectories per directories default is 5 | StructureGenerator.java,maxwidth maxwidth maximum number subdirectory per directory default | structuregenerator java
141,"[0, 0, 0, 1, 0, 0, 0]",numoffiles #offiles the total number of files default is 10.,numoffiles offiles total number file default,numoffiles #offiles the total number of files default is 10. | StructureGenerator.java,numoffiles offiles total number file default | structuregenerator java
142,"[0, 0, 1, 1, 0, 0, 0]",avgfilesize avgfilesizeinblocks average size of blocks default is 1.,avgfilesize avgfilesizeinblocks average size block default,avgfilesize avgfilesizeinblocks average size of blocks default is 1. | StructureGenerator.java,avgfilesize avgfilesizeinblocks average size block default | structuregenerator java
143,"[0, 0, 1, 1, 0, 0, 0]",outdir outdir output directory default is the current directory.,outdir outdir output directory default current directory,outdir outdir output directory default is the current directory. | StructureGenerator.java,outdir outdir output directory default current directory | structuregenerator java
144,"[0, 0, 0, 1, 0, 0, 0]",seed seed random number generator seed default is the current time.,seed seed random number generator seed default current time,seed seed random number generator seed default is the current time. | StructureGenerator.java,seed seed random number generator seed default current time | structuregenerator java
145,"[1, 0, 0, 0, 0, 0, 0]",thrown to indicate that data locality can t be calculated or requested path is incorrect.,thrown indicate data locality calculated requested path incorrect,thrown to indicate that data locality can t be calculated or requested path is incorrect. | SwiftBadRequestException.java,thrown indicate data locality calculated requested path incorrect | swiftbadrequestexception java
146,"[0, 0, 0, 0, 0, 1, 0]",data locality can t be calculated if openstack swift version is old.,data locality calculated openstack swift version old,data locality can t be calculated if openstack swift version is old. | SwiftBadRequestException.java,data locality calculated openstack swift version old | swiftbadrequestexception java
147,"[0, 0, 0, 0, 1, 0, 0]",get the current operation statistics.,get current operation statistic,get the current operation statistics. | SwiftRestClient.java,get current operation statistic | swiftrestclient java
148,"[0, 0, 0, 0, 1, 0, 0]",@return a snapshot of the statistics,return snapshot statistic,@return a snapshot of the statistics | SwiftRestClient.java,return snapshot statistic | swiftrestclient java
149,"[0, 0, 0, 0, 1, 0, 0]",base class for all swift rest operations.,base class swift rest operation,base class for all swift rest operations. | SwiftRestClient.java,base class swift rest operation | swiftrestclient java
150,"[0, 0, 0, 0, 1, 0, 0]",@param m request,param request,@param m request | SwiftRestClient.java,param request | swiftrestclient java
151,"[0, 0, 0, 0, 1, 0, 0]",@param r result,param r result,@param r result | SwiftRestClient.java,param r result | swiftrestclient java
152,"[0, 0, 0, 0, 1, 0, 0]",create operation.,create operation,create operation. | SwiftRestClient.java,create operation | swiftrestclient java
153,"[0, 0, 0, 0, 1, 0, 0]",delete operation.,delete operation,delete operation. | SwiftRestClient.java,delete operation | swiftrestclient java
154,"[0, 0, 0, 0, 1, 0, 0]",@param r,param r,@param r | SwiftRestClient.java,param r | swiftrestclient java
155,"[1, 0, 0, 0, 0, 0, 0]",class that maintains table configuration.,class maintains table configuration,class that maintains table configuration. | TableConfig.java,class maintains table configuration | tableconfig java
156,"[1, 0, 1, 0, 0, 0, 0]",test addblockop is written and read correctly,test addblockop written read correctly,test addblockop is written and read correctly | TestAddBlock.java,test addblockop written read correctly | testaddblock java
157,"[1, 0, 0, 0, 0, 0, 0]",test seek operation on adl file system.,test seek operation adl file system,test seek operation on adl file system. | TestAdlContractSeekLive.java,test seek operation adl file system | testadlcontractseeklive java
158,"[1, 0, 0, 0, 0, 0, 0]",test custom oauth token providers.,test custom oauth token provider,test custom oauth token providers. | TestCustomOauthTokenProvider.java,test custom oauth token provider | testcustomoauthtokenprovider java
159,"[1, 0, 0, 0, 0, 0, 0]",test the editlogfileoutputstream,test editlogfileoutputstream,test the editlogfileoutputstream | TestEditLogFileOutputStream.java,test editlogfileoutputstream | testeditlogfileoutputstream java
160,"[1, 0, 0, 0, 1, 0, 0]",unit test for @link federationpolicyutils .,unit test link federationpolicyutils,unit test for @link federationpolicyutils . | TestFederationPolicyUtils.java,unit test link federationpolicyutils | testfederationpolicyutils java
161,"[1, 0, 0, 0, 0, 0, 0]",tests handler interface.,test handler interface,tests handler interface. | TestHandler.java,test handler interface | testhandler java
162,"[1, 0, 0, 0, 0, 0, 0]","tests for the upload, buffering and flush logic in wasb.",test upload buffering flush logic wasb,"tests for the upload, buffering and flush logic in wasb. | TestNativeAzureFileSystemUploadLogic.java",test upload buffering flush logic wasb | testnativeazurefilesystemuploadlogic java
163,"[1, 0, 0, 0, 1, 0, 0]",test class for @link ozonenativeauthorizer .,test class link ozonenativeauthorizer,test class for @link ozonenativeauthorizer . | TestOzoneNativeAuthorizer.java,test class link ozonenativeauthorizer | testozonenativeauthorizer java
164,"[0, 0, 1, 0, 0, 0, 0]",this test depends on test^proto definition of types in src test proto,test depends test proto definition type src test proto,this test depends on test^proto definition of types in src test proto | TestProtoBufRpc.java,test depends test proto definition type src test proto | testprotobufrpc java
165,"[1, 0, 0, 0, 0, 0, 0]",rdbstore tests.,rdbstore test,rdbstore tests. | TestRDBStore.java,rdbstore test | testrdbstore java
166,"[1, 0, 0, 0, 0, 0, 0]",test class to validate routerwebserviceutil methods.,test class validate routerwebserviceutil method,test class to validate routerwebserviceutil methods. | TestRouterWebServiceUtil.java,test class validate routerwebserviceutil method | testrouterwebserviceutil java
167,"[0, 0, 1, 0, 0, 0, 0]",li recover from failure while saving into the second storage directory li,li recover failure saving second storage directory li,li recover from failure while saving into the second storage directory li | TestSaveNamespace.java,li recover failure saving second storage directory li | testsavenamespace java
168,"[0, 0, 1, 0, 0, 0, 0]",li recover from failure while moving current into lastcheckpoint^tmp li,li recover failure moving current lastcheckpoint tmp li,li recover from failure while moving current into lastcheckpoint^tmp li | TestSaveNamespace.java,li recover failure moving current lastcheckpoint tmp li | testsavenamespace java
169,"[1, 0, 1, 0, 0, 0, 0]",test that we can start several and run with namenodes on the same minicluster,test start several run namenodes minicluster,test that we can start several and run with namenodes on the same minicluster | TestSeveralNameNodes.java,test start several run namenodes minicluster | testseveralnamenodes java
